Rank,Year,Movie,Distributor,Domestic Box Office,International Box Office,Worldwide Box Office
1,2015,Star Wars Ep. VII: The Force Awakens,Walt Disney,"$936,662,225","$1,131,561,399","$2,068,223,624"
2,2019,Avengers: Endgame,Walt Disney,"$858,373,000","$1,939,427,564","$2,797,800,564"
3,2009,Avatar,20th Cent…,"$760,507,625","$2,029,197,650","$2,789,705,275"
4,2018,Black Panther,Walt Disney,"$700,059,566","$646,853,595","$1,346,913,161"
5,2018,Avengers: Infinity War,Walt Disney,"$678,815,482","$1,369,544,272","$2,048,359,754"
6,1997,Titanic,Paramount…,"$659,363,944","$1,548,844,451","$2,208,208,395"
7,2015,Jurassic World,Universal,"$652,270,625","$996,584,239","$1,648,854,864"
8,2012,The Avengers,Walt Disney,"$623,357,910","$895,455,078","$1,518,812,988"
9,2017,Star Wars Ep. VIII: The Last Jedi,Walt Disney,"$620,181,382","$712,358,507","$1,332,539,889"
10,2018,Incredibles 2,Walt Disney,"$608,581,744","$634,223,615","$1,242,805,359"
11,2019,The Lion King,Walt Disney,"$543,638,043","$1,112,675,054","$1,656,313,097"
12,2008,The Dark Knight,Warner Bros.,"$533,720,947","$468,275,260","$1,001,996,207"
13,2016,Rogue One: A Star Wars Story,Walt Disney,"$532,177,324","$523,879,949","$1,056,057,273"
14,2019,Star Wars: The Rise of Skywalker,Walt Disney,"$507,768,463","$551,000,000","$1,058,768,463"
15,2017,Beauty and the Beast,Walt Disney,"$504,014,165","$759,506,961","$1,263,521,126"
16,2016,Finding Dory,Walt Disney,"$486,295,561","$542,275,328","$1,028,570,889"
17,1999,Star Wars Ep. I: The Phantom Menace,20th Cent…,"$474,544,677","$552,500,000","$1,027,044,677"
18,2019,Frozen II,Walt Disney,"$472,707,042","$957,504,736","$1,430,211,778"
19,1977,Star Wars Ep. IV: A New Hope,20th Cent…,"$460,998,007","$314,400,000","$775,398,007"
20,2015,Avengers: Age of Ultron,Walt Disney,"$459,005,868","$944,008,095","$1,403,013,963"
21,2012,The Dark Knight Rises,Warner Bros.,"$448,139,099","$636,300,000","$1,084,439,099"
22,2004,Shrek 2,Dreamwork…,"$441,226,247","$495,781,885","$937,008,132"
23,1982,ET: The Extra-Terrestrial,Universal,"$435,110,554","$357,854,772","$792,965,326"
24,2019,Toy Story 4,Walt Disney,"$434,038,008","$639,356,805","$1,073,394,813"
25,2019,Captain Marvel,Walt Disney,"$426,829,839","$702,900,000","$1,129,729,839"
26,2013,The Hunger Games: Catching Fire,Lionsgate,"$424,668,047","$440,200,000","$864,868,047"
27,2006,Pirates of the Caribbean: Dead Man’s Chest,Walt Disney,"$423,315,812","$642,900,000","$1,066,215,812"
28,1994,The Lion King,Walt Disney,"$421,785,283","$564,429,585","$986,214,868"
29,2018,Jurassic World: Fallen Kingdom,Universal,"$417,719,760","$890,751,228","$1,308,470,988"
30,2010,Toy Story 3,Walt Disney,"$415,004,880","$653,874,642","$1,068,879,522"
31,2017,Wonder Woman,Warner Bros.,"$412,563,408","$408,569,970","$821,133,378"
32,2013,Iron Man 3,Walt Disney,"$408,992,272","$806,400,000","$1,215,392,272"
33,2016,Captain America: Civil War,Walt Disney,"$408,084,349","$745,200,000","$1,153,284,349"
34,2012,The Hunger Games,Lionsgate,"$408,010,692","$269,912,687","$677,923,379"
35,2002,Spider-Man,Sony Pict…,"$407,677,927","$418,000,000","$825,677,927"
36,2017,Jumanji: Welcome to the Jungle,Sony Pict…,"$404,508,916","$559,987,277","$964,496,193"
37,1993,Jurassic Park,Universal,"$402,523,348","$643,104,279","$1,045,627,627"
38,2009,Transformers: Revenge of the Fallen,Paramount…,"$402,111,870","$434,407,829","$836,519,699"
39,2013,Frozen,Walt Disney,"$400,738,009","$871,438,645","$1,272,176,654"
40,2019,Spider-Man: Far From Home,Sony Pict…,"$390,532,085","$741,395,911","$1,131,927,996"
41,2017,Guardians of the Galaxy Vol 2,Walt Disney,"$389,813,101","$479,300,000","$869,113,101"
42,2011,Harry Potter and the Deathly Hallows: Part II,Warner Bros.,"$381,193,157","$960,500,000","$1,341,693,157"
43,2003,Finding Nemo,Walt Disney,"$380,529,370","$555,900,000","$936,429,370"
44,2005,Star Wars Ep. III: Revenge of the Sith,20th Cent…,"$380,270,577","$468,728,300","$848,998,877"
45,2003,The Lord of the Rings: The Return of the King,New Line,"$377,845,905","$742,578,709","$1,120,424,614"
46,2004,Spider-Man 2,Sony Pict…,"$373,524,485","$421,586,185","$795,110,670"
47,2004,The Passion of the Christ,Newmarket…,"$370,782,930","$251,558,994","$622,341,924"
48,2016,The Secret Life of Pets,Universal,"$368,384,330","$518,222,082","$886,606,412"
49,2013,Despicable Me 2,Universal,"$368,065,385","$607,151,450","$975,216,835"
50,2016,The Jungle Book,Walt Disney,"$364,001,123","$598,853,424","$962,854,547"
51,2016,Deadpool,20th Cent…,"$363,070,709","$437,954,884","$801,025,593"
52,2015,Inside Out,Walt Disney,"$356,461,711","$501,100,000","$857,561,711"
53,2019,Aladdin,Walt Disney,"$355,559,216","$695,400,000","$1,050,959,216"
54,2015,Furious 7,Universal,"$353,007,020","$1,165,715,774","$1,518,722,794"
55,2011,Transformers: Dark of the Moon,Paramount…,"$352,390,543","$771,403,536","$1,123,794,079"
56,2014,American Sniper,Warner Bros.,"$350,126,372","$197,200,000","$547,326,372"
57,2002,The Lord of the Rings: The Two Towers,New Line,"$342,548,984","$585,049,265","$927,598,249"
58,2016,Zootopia,Walt Disney,"$341,268,248","$695,100,000","$1,036,368,248"
59,2014,The Hunger Games: Mockingjay - Part 1,Lionsgate,"$337,135,885","$429,439,246","$766,575,131"
60,2007,Spider-Man 3,Sony Pict…,"$336,530,303","$558,329,927","$894,860,230"
61,2015,Minions,Universal,"$336,045,770","$824,290,403","$1,160,336,173"
62,2018,Aquaman,Warner Bros.,"$335,061,807","$811,832,833","$1,146,894,640"
63,2019,Joker,Warner Bros.,"$335,039,764","$736,700,000","$1,071,739,764"
64,2017,Spider-Man: Homecoming,Sony Pict…,"$334,201,140","$545,965,210","$880,166,350"
65,2010,Alice in Wonderland,Walt Disney,"$334,191,110","$691,300,000","$1,025,491,110"
66,2014,Guardians of the Galaxy,Walt Disney,"$333,172,112","$439,600,000","$772,772,112"
67,2016,Batman v Superman: Dawn of Justice,Warner Bros.,"$330,360,194","$543,274,725","$873,634,919"
68,1994,Forrest Gump,Paramount…,"$330,151,138","$349,699,499","$679,850,637"
69,2017,It,Warner Bros.,"$328,828,874","$372,900,000","$701,728,874"
70,2016,Suicide Squad,Warner Bros.,"$325,100,054","$420,959,833","$746,059,887"
71,2018,Deadpool 2,20th Cent…,"$324,591,735","$462,088,822","$786,680,557"
72,2007,Shrek the Third,Paramount…,"$322,719,944","$484,610,992","$807,330,936"
73,2007,Transformers,Paramount…,"$319,246,193","$389,026,399","$708,272,592"
74,2008,Iron Man,Paramount…,"$318,604,126","$266,567,421","$585,171,547"
75,2001,Harry Potter and the Sorcerer’s Stone,Warner Bros.,"$317,871,467","$657,176,139","$975,047,606"
76,2008,Indiana Jones and the Kingdom of the Crystal Skull,Paramount…,"$317,101,119","$469,534,294","$786,635,413"
77,2001,The Lord of the Rings: The Fellowship of the Ring,New Line,"$315,544,750","$571,666,235","$887,210,985"
78,2017,Thor: Ragnarok,Walt Disney,"$315,058,289","$538,900,000","$853,958,289"
79,2010,Iron Man 2,Paramount…,"$312,433,331","$308,723,058","$621,156,389"
80,2002,Star Wars Ep. II: Attack of the Clones,20th Cent…,"$310,676,740","$346,018,875","$656,695,615"
81,2007,Pirates of the Caribbean: At World’s End,Walt Disney,"$309,420,425","$654,000,000","$963,420,425"
82,1983,Star Wars Ep. VI: Return of the Jedi,20th Cent…,"$309,205,079","$165,901,098","$475,106,177"
83,1996,Independence Day,20th Cent…,"$306,169,255","$511,231,623","$817,400,878"
84,2003,Pirates of the Caribbean: The Curse of the Blac…,Walt Disney,"$305,410,819","$348,900,000","$654,310,819"
85,2012,Skyfall,Sony Pict…,"$304,360,277","$806,166,704","$1,110,526,981"
86,2012,The Hobbit: An Unexpected Journey,Warner Bros.,"$303,003,568","$714,000,000","$1,017,003,568"
87,2009,Harry Potter and the Half-Blood Prince,Warner Bros.,"$302,089,278","$633,124,489","$935,213,767"
88,2010,The Twilight Saga: Eclipse,Summit En…,"$300,531,751","$405,571,077","$706,102,828"
89,2009,The Twilight Saga: New Moon,Summit En…,"$296,623,634","$390,934,093","$687,557,727"
90,2010,Harry Potter and the Deathly Hallows: Part I,Warner Bros.,"$296,131,568","$664,300,000","$960,431,568"
91,1999,The Sixth Sense,Walt Disney,"$293,506,292","$379,300,000","$672,806,292"
92,2009,Up,Walt Disney,"$293,004,164","$438,459,213","$731,463,377"
93,2010,Inception,Warner Bros.,"$292,576,195","$542,173,679","$834,749,874"
94,2019,Jumanji: The Next Level,Sony Pict…,"$292,561,852","$462,773,001","$755,334,853"
95,2012,"The Twilight Saga: Breaking Dawn, Part 2",Lionsgate,"$292,324,737","$537,400,000","$829,724,737"
96,2007,Harry Potter and the Order of the Phoenix,Warner Bros.,"$292,137,260","$650,939,197","$943,076,457"
97,2005,"The Chronicles of Narnia: The Lion, the Witch a…",Walt Disney,"$291,710,957","$428,828,615","$720,539,572"
98,2013,Man of Steel,Warner Bros.,"$291,045,518","$376,954,000","$667,999,518"
99,1980,Star Wars Ep. V: The Empire Strikes Back,20th Cent…,"$290,271,960","$257,697,044","$547,969,004"
100,2005,Harry Potter and the Goblet of Fire,Warner Bros.,"$290,201,752","$606,898,042","$897,099,794"
101,2001,"Monsters, Inc.",Walt Disney,"$289,423,425","$270,334,294","$559,757,719"
102,1990,Home Alone,20th Cent…,"$285,761,243","$190,923,432","$476,684,675"
103,2015,The Hunger Games: Mockingjay - Part 2,Lionsgate,"$281,723,902","$367,262,885","$648,986,787"
104,2003,The Matrix Reloaded,Warner Bros.,"$281,553,689","$457,023,240","$738,576,929"
105,2011,"The Twilight Saga: Breaking Dawn, Part 1",Summit En…,"$281,287,133","$408,132,918","$689,420,051"
106,2004,Meet the Fockers,Universal,"$279,167,575","$237,400,000","$516,567,575"
107,2009,The Hangover,Warner Bros.,"$277,322,503","$188,441,583","$465,764,086"
108,2013,Gravity,Warner Bros.,"$274,092,705","$419,605,968","$693,698,673"
109,2018,Dr. Seuss’ The Grinch,Universal,"$270,620,950","$241,048,559","$511,669,509"
110,2016,Sing,Universal,"$270,329,045","$364,125,744","$634,454,789"
111,2013,Monsters University,Walt Disney,"$268,488,329","$475,100,000","$743,588,329"
112,2001,Shrek,Dreamwork…,"$267,655,011","$224,157,783","$491,812,794"
113,2017,Despicable Me 3,Universal,"$264,624,300","$770,100,410","$1,034,724,710"
114,2002,Harry Potter and the Chamber of Secrets,Warner Bros.,"$262,233,381","$616,991,754","$879,225,135"
115,2012,The Amazing Spider-Man,Sony Pict…,"$262,030,663","$495,859,604","$757,890,267"
116,2004,The Incredibles,Walt Disney,"$261,441,092","$370,000,000","$631,441,092"
117,2000,How the Grinch Stole Christmas,Universal,"$260,044,825","$85,096,578","$345,141,403"
118,1975,Jaws,Universal,"$260,000,000","$210,700,000","$470,700,000"
119,2014,Captain America: The Winter Soldier,Walt Disney,"$259,746,958","$454,654,931","$714,401,889"
120,2013,The Hobbit: The Desolation of Smaug,Warner Bros.,"$258,241,522","$702,000,000","$960,241,522"
121,2014,The Lego Movie,Warner Bros.,"$257,784,718","$199,944,670","$457,729,388"
122,2009,Star Trek,Paramount…,"$257,730,019","$129,109,595","$386,839,614"
123,2007,I am Legend,Warner Bros.,"$256,393,010","$329,139,674","$585,532,684"
124,2009,The Blind Side,Warner Bros.,"$255,959,475","$49,746,319","$305,705,794"
125,2014,The Hobbit: The Battle of the Five Armies,Warner Bros.,"$255,119,788","$690,457,833","$945,577,621"
126,2011,The Hangover Part II,Warner Bros.,"$254,464,305","$332,000,000","$586,464,305"
127,2010,Despicable Me,Universal,"$251,513,985","$291,950,588","$543,464,573"
128,1989,Batman,Warner Bros.,"$251,188,924","$160,160,000","$411,348,924"
129,2006,Night at the Museum,20th Cent…,"$250,863,268","$328,583,139","$579,446,407"
130,1997,Men in Black,Sony Pict…,"$250,690,539","$337,100,000","$587,790,539"
131,2004,Harry Potter and the Prisoner of Azkaban,Warner Bros.,"$249,757,726","$547,149,597","$796,907,323"
132,2016,Moana,Walt Disney,"$248,757,044","$388,760,321","$637,517,365"
133,1999,Toy Story 2,Walt Disney,"$245,852,179","$265,506,097","$511,358,276"
134,2014,Transformers: Age of Extinction,Paramount…,"$245,439,076","$858,614,996","$1,104,054,072"
135,2006,Cars,Walt Disney,"$244,082,982","$217,568,264","$461,651,246"
136,2003,Bruce Almighty,Universal,"$242,704,995","$241,763,613","$484,468,608"
137,1984,Ghostbusters,Sony Pict…,"$242,212,467","$53,000,000","$295,212,467"
138,1996,Twister,Warner Bros.,"$241,688,385","$254,011,615","$495,700,000"
139,2002,My Big Fat Greek Wedding,IFC Films,"$241,438,208","$133,451,826","$374,890,034"
140,2014,Maleficent,Walt Disney,"$241,407,328","$517,129,407","$758,536,735"
141,2011,Pirates of the Caribbean: On Stranger Tides,Walt Disney,"$241,063,875","$804,600,000","$1,045,663,875"
142,2010,Shrek Forever After,Paramount…,"$238,736,787","$517,507,886","$756,244,673"
143,2013,Fast and Furious 6,Universal,"$238,679,850","$550,620,594","$789,300,444"
144,2012,Brave,Walt Disney,"$237,282,182","$317,324,350","$554,606,532"
145,2013,Oz the Great and Powerful,Walt Disney,"$234,770,996","$255,588,055","$490,359,051"
146,1984,Beverly Hills Cop,Paramount…,"$234,760,478","$81,539,522","$316,300,000"
147,2006,X-Men: The Last Stand,20th Cent…,"$234,362,462","$224,898,484","$459,260,946"
148,2005,War of the Worlds,Paramount…,"$234,280,354","$372,556,181","$606,836,535"
149,2016,Fantastic Beasts and Where to Find Them,Warner Bros.,"$234,037,575","$568,365,278","$802,402,853"
150,2014,X-Men: Days of Future Past,20th Cent…,"$233,921,534","$513,941,241","$747,862,775"
151,2000,Cast Away,20th Cent…,"$233,632,142","$193,598,374","$427,230,516"
152,2016,Doctor Strange,Walt Disney,"$232,641,920","$443,762,646","$676,404,566"
153,1973,The Exorcist,Warner Bros.,"$230,347,346","$197,867,132","$428,214,478"
154,1997,The Lost World: Jurassic Park,Universal,"$229,086,679","$389,552,320","$618,638,999"
155,2017,Justice League,Warner Bros.,"$229,024,295","$426,920,914","$655,945,209"
156,2013,Star Trek Into Darkness,Paramount…,"$228,778,661","$238,602,923","$467,381,584"
157,2015,The Martian,20th Cent…,"$228,433,663","$426,837,780","$655,271,443"
158,2002,Signs,Walt Disney,"$227,969,295","$180,300,000","$408,269,295"
159,2008,Hancock,Sony Pict…,"$227,946,274","$396,287,998","$624,234,272"
160,2007,The Bourne Ultimatum,Universal,"$227,471,070","$216,572,326","$444,043,396"
161,2017,Logan,20th Cent…,"$226,277,068","$389,184,326","$615,461,394"
162,2001,Rush Hour 2,New Line,"$226,164,286","$121,261,546","$347,425,832"
163,2017,The Fate of the Furious,Universal,"$225,764,765","$1,013,000,000","$1,238,764,765"
164,1981,Raiders of the Lost Ark,Paramount…,"$225,686,079","$141,766,000","$367,452,079"
165,2008,WALL-E,Walt Disney,"$223,808,164","$308,699,861","$532,508,025"
166,2014,Big Hero 6,Walt Disney,"$222,527,828","$429,600,000","$652,127,828"
167,2018,Mission: Impossible—Fallout,Paramount…,"$220,159,104","$567,297,448","$787,456,552"
168,2007,National Treasure: Book of Secrets,Walt Disney,"$219,961,501","$237,364,303","$457,325,804"
169,2009,Alvin and the Chipmunks: The Squeakquel,20th Cent…,"$219,614,612","$223,868,601","$443,483,213"
170,1993,Mrs. Doubtfire,20th Cent…,"$219,195,051","$222,090,952","$441,286,003"
171,2012,Ted,Universal,"$218,665,740","$337,350,887","$556,016,627"
172,2005,King Kong,Universal,"$218,080,025","$332,437,332","$550,517,357"
173,1990,Ghost,Paramount…,"$217,631,306","$299,968,694","$517,600,000"
174,2010,How to Train Your Dragon,Paramount…,"$217,581,232","$277,289,760","$494,870,992"
175,2006,The Da Vinci Code,Sony Pict…,"$217,536,138","$550,284,321","$767,820,459"
176,1992,Aladdin,Walt Disney,"$217,350,219","$286,700,000","$504,050,219"
177,2007,Alvin and the Chipmunks,20th Cent…,"$217,326,974","$145,278,059","$362,605,033"
178,2018,Ant-Man and the Wasp,Walt Disney,"$216,648,740","$406,495,920","$623,144,660"
179,2012,Madagascar 3: Europe's Most Wanted,Paramount…,"$216,391,482","$530,529,789","$746,921,271"
180,1998,Saving Private Ryan,Dreamwork…,"$216,335,085","$268,700,000","$485,035,085"
181,2018,Bohemian Rhapsody,20th Cent…,"$216,303,339","$687,223,033","$903,526,372"
182,2008,Kung Fu Panda,Paramount…,"$215,434,591","$416,475,940","$631,910,531"
183,2000,Mission: Impossible 2,Paramount…,"$215,409,889","$334,178,627","$549,588,516"
184,2018,A Star is Born,Warner Bros.,"$215,288,866","$218,816,118","$434,104,984"
185,2003,X-Men 2,20th Cent…,"$214,949,694","$191,925,842","$406,875,536"
186,2012,Doctor Seuss' The Lorax,Universal,"$214,030,500","$136,946,253","$350,976,753"
187,2018,Solo: A Star Wars Story,Walt Disney,"$213,767,512","$179,383,835","$393,151,347"
188,2018,Venom,Sony Pict…,"$213,511,408","$640,117,197","$853,628,605"
189,2002,Austin Powers in Goldmember,New Line,"$213,117,789","$83,220,874","$296,338,663"
190,1985,Back to the Future,Universal,"$212,259,762","$173,265,022","$385,524,784"
191,2019,It: Chapter Two,Warner Bros.,"$211,593,228","$258,695,004","$470,288,232"
192,2007,300,Warner Bros.,"$210,614,939","$243,546,996","$454,161,935"
193,2011,Fast Five,Universal,"$210,031,325","$420,132,129","$630,163,454"
194,2017,Coco,Walt Disney,"$209,726,015","$597,400,000","$807,126,015"
195,2011,Mission: Impossible—Ghost Protocol,Paramount…,"$209,397,903","$485,315,327","$694,713,230"
196,2005,Wedding Crashers,New Line,"$209,218,368","$74,000,000","$283,218,368"
197,2009,Sherlock Holmes,Warner Bros.,"$209,028,679","$289,409,533","$498,438,212"
198,2014,Dawn of the Planet of the Apes,20th Cent…,"$208,545,589","$502,098,977","$710,644,566"
199,2005,Charlie and the Chocolate Factory,Warner Bros.,"$206,459,076","$269,366,408","$475,825,484"
200,2007,Ratatouille,Walt Disney,"$206,445,654","$420,104,041","$626,549,695"
201,2013,Thor: The Dark World,Walt Disney,"$206,362,140","$438,240,376","$644,602,516"
202,1991,Beauty and the Beast,Walt Disney,"$206,333,165","$232,373,866","$438,707,031"
203,1999,Austin Powers: The Spy Who Shagged Me,New Line,"$206,040,085","$106,343,402","$312,383,487"
204,2005,Batman Begins,Warner Bros.,"$205,343,774","$153,798,948","$359,142,722"
205,1991,Terminator 2: Judgment Day,Sony Pict…,"$203,464,105","$311,928,555","$515,392,660"
206,2014,The Amazing Spider-Man 2,Sony Pict…,"$202,853,933","$506,142,403","$708,996,336"
207,2013,World War Z,Paramount…,"$202,359,711","$329,154,939","$531,514,650"
208,2001,The Mummy Returns,Universal,"$202,007,640","$233,032,755","$435,040,395"
209,1998,Armageddon,Walt Disney,"$201,578,182","$353,021,818","$554,600,000"
210,2015,Cinderella,Walt Disney,"$201,151,353","$333,400,000","$534,551,353"
211,2018,Ralph Breaks The Internet,Walt Disney,"$201,091,711","$328,199,119","$529,290,830"
212,2010,Tangled,Walt Disney,"$200,821,936","$385,655,304","$586,477,240"
213,2014,Godzilla,Warner Bros.,"$200,676,069","$328,400,000","$529,076,069"
214,2006,Superman Returns,Warner Bros.,"$200,120,000","$190,961,192","$391,081,192"
215,2015,Spectre,Sony Pict…,"$200,074,175","$679,546,748","$879,620,923"
216,1939,Gone with the Wind,MGM,"$198,680,470","$191,844,722","$390,525,192"
217,2001,Pearl Harbor,Walt Disney,"$198,539,855","$250,700,000","$449,239,855"
218,2009,Monsters vs. Aliens,Paramount…,"$198,351,526","$183,335,854","$381,687,380"
219,2006,Happy Feet,Warner Bros.,"$198,000,317","$187,000,000","$385,000,317"
220,1989,Indiana Jones and the Last Crusade,Paramount…,"$197,171,806","$277,000,000","$474,171,806"
221,2009,Ice Age: Dawn of the Dinosaurs,20th Cent…,"$196,573,705","$663,128,152","$859,701,857"
222,2006,Ice Age: The Meltdown,20th Cent…,"$195,330,621","$456,568,661","$651,899,282"
223,2015,Mission: Impossible—Rogue Nation,Paramount…,"$195,042,377","$493,816,615","$688,858,992"
224,2005,Madagascar,Dreamwork…,"$193,595,521","$362,964,045","$556,559,566"
225,2008,Twilight,Summit En…,"$192,769,854","$209,510,305","$402,280,159"
226,1995,Toy Story,Walt Disney,"$191,796,233","$172,749,283","$364,545,516"
227,2014,22 Jump Street,Sony Pict…,"$191,719,337","$139,614,539","$331,333,876"
228,2011,Cars 2,Walt Disney,"$191,450,875","$368,704,508","$560,155,383"
229,2014,Teenage Mutant Ninja Turtles,Paramount…,"$191,204,754","$293,800,000","$485,004,754"
230,2002,Men in Black 2,Sony Pict…,"$190,418,803","$251,349,000","$441,767,803"
231,2018,Spider-Man: Into The Spider-Verse 3D,Sony Pict…,"$190,173,195","$185,069,944","$375,243,139"
232,2017,Dunkirk,Warner Bros.,"$190,068,280","$309,769,088","$499,837,368"
233,2012,Wreck-It Ralph,Walt Disney,"$189,412,677","$307,098,844","$496,511,521"
234,2004,The Polar Express,Warner Bros.,"$188,042,855","$124,140,582","$312,183,437"
235,2018,A Quiet Place,Paramount…,"$188,024,361","$148,133,165","$336,157,526"
236,2014,Interstellar,Paramount…,"$188,017,894","$477,252,582","$665,270,476"
237,2000,Gladiator,Dreamwork…,"$187,683,805","$270,000,000","$457,683,805"
238,2013,The Croods,20th Cent…,"$187,168,425","$385,900,000","$573,068,425"
239,2011,Sherlock Holmes: A Game of Shadows,Warner Bros.,"$186,848,418","$348,815,025","$535,663,443"
240,2004,The Day After Tomorrow,20th Cent…,"$186,740,799","$369,578,651","$556,319,450"
241,2005,Mr. and Mrs. Smith,20th Cent…,"$186,336,279","$299,787,811","$486,124,090"
242,1937,Snow White and the Seven Dwarfs,Walt Disney,"$184,925,486",,"$184,925,486"
243,2015,Pitch Perfect 2,Universal,"$184,296,230","$103,329,238","$287,625,468"
244,1990,Dances with Wolves,Orion Pic…,"$184,208,842","$240,000,000","$424,208,842"
245,1995,Batman Forever,Warner Bros.,"$184,031,112","$152,498,032","$336,529,144"
246,1993,The Fugitive,Warner Bros.,"$183,875,760","$169,839,557","$353,715,317"
247,2015,The Revenant,20th Cent…,"$183,637,894","$349,300,408","$532,938,302"
248,2001,Ocean's Eleven,Warner Bros.,"$183,417,150","$267,311,379","$450,728,529"
249,2007,The Simpsons Movie,20th Cent…,"$183,135,014","$343,936,008","$527,071,022"
250,2000,What Women Want,Paramount…,"$182,805,123","$191,300,000","$374,105,123"
251,2000,The Perfect Storm,Warner Bros.,"$182,618,434","$146,093,000","$328,711,434"
252,2012,Lincoln,Walt Disney,"$182,207,973","$91,138,308","$273,346,281"
253,1978,Grease,Paramount…,"$181,813,770","$205,696,409","$387,510,179"
254,1997,Liar Liar,Universal,"$181,410,615","$121,300,000","$302,710,615"
255,2001,Jurassic Park III,Universal,"$181,166,115","$184,733,885","$365,900,000"
256,2011,Thor,Paramount…,"$181,030,624","$268,295,994","$449,326,618"
257,1996,Mission: Impossible,Paramount…,"$180,981,886","$276,716,108","$457,697,994"
258,2015,Ant-Man,Walt Disney,"$180,202,163","$338,656,286","$518,858,449"
259,2008,Madagascar: Escape 2 Africa,Paramount…,"$180,174,880","$419,505,894","$599,680,774"
260,2001,Planet of the Apes,20th Cent…,"$180,011,740","$182,200,000","$362,211,740"
261,2009,X-Men Origins: Wolverine,20th Cent…,"$179,883,157","$194,942,603","$374,825,760"
262,1984,Indiana Jones and the Temple of Doom,Paramount…,"$179,880,271","$153,200,000","$333,080,271"
263,1986,Top Gun,Paramount…,"$179,800,601","$176,999,033","$356,799,634"
264,2012,Men in Black 3,Sony Pict…,"$179,020,854","$475,192,631","$654,213,485"
265,1990,Pretty Woman,Walt Disney,"$178,406,268","$254,239,604","$432,645,872"
266,2005,Hitch,Sony Pict…,"$177,784,257","$189,000,000","$366,784,257"
267,2015,Home,20th Cent…,"$177,397,510","$208,600,386","$385,997,896"
268,2009,Night at the Museum: Battle of the Smithsonian,20th Cent…,"$177,243,721","$224,987,342","$402,231,063"
269,1982,Tootsie,Sony Pict…,"$177,200,000",,"$177,200,000"
270,2014,How to Train Your Dragon 2,20th Cent…,"$177,002,924","$437,583,346","$614,586,270"
271,2011,Rise of the Planet of the Apes,20th Cent…,"$176,760,185","$294,226,015","$470,986,200"
272,2011,Captain America: The First Avenger,Paramount…,"$176,654,505","$193,915,271","$370,569,776"
273,2010,The Karate Kid,Sony Pict…,"$176,591,618","$175,183,320","$351,774,938"
274,1998,There's Something About Mary,20th Cent…,"$176,484,651","$193,400,000","$369,884,651"
275,2002,Ice Age,20th Cent…,"$176,387,405","$209,728,938","$386,116,343"
276,2004,The Bourne Supremacy,Universal,"$176,087,450","$134,913,674","$311,001,124"
277,2017,Get Out,Universal,"$176,040,665","$79,367,450","$255,408,115"
278,2017,The Lego Batman Movie,Warner Bros.,"$175,750,384","$134,909,634","$310,660,018"
279,2019,Us,Universal,"$175,084,580","$81,078,218","$256,162,798"
280,2017,The Boss Baby,20th Cent…,"$175,003,033","$335,875,729","$510,878,762"
281,1986,Crocodile Dundee,Paramount…,"$174,803,506","$153,400,000","$328,203,506"
282,2003,Elf,New Line,"$174,626,840","$46,837,892","$221,464,732"
283,2018,Crazy Rich Asians,Warner Bros.,"$174,532,921","$63,566,790","$238,099,711"
284,2017,The Greatest Showman,20th Cent…,"$174,340,174","$266,633,348","$440,973,522"
285,2019,Fast & Furious Presents: Hobbs & Shaw,Universal,"$173,956,935","$586,633,794","$760,590,729"
286,1995,Apollo 13,Universal,"$173,772,767","$162,029,504","$335,802,271"
287,1992,Home Alone 2: Lost in New York,20th Cent…,"$173,585,516","$185,409,334","$358,994,850"
288,1999,The Matrix,Warner Bros.,"$173,396,389","$292,025,570","$465,421,959"
289,2004,National Treasure,Walt Disney,"$173,005,002","$158,318,408","$331,323,410"
290,1997,Air Force One,Sony Pict…,"$172,956,409","$142,311,944","$315,268,353"
291,1988,Rain Man,MGM,"$172,825,435","$239,974,565","$412,800,000"
292,2017,Pirates of the Caribbean: Dead Men Tell No Tales,Walt Disney,"$172,558,876","$615,682,261","$788,241,137"
293,2010,Tron: Legacy,Walt Disney,"$172,062,763","$228,000,000","$400,062,763"
294,2018,Mary Poppins Returns,Walt Disney,"$171,958,438","$177,600,000","$349,558,438"
295,2010,True Grit,Paramount…,"$171,243,005","$81,033,923","$252,276,928"
296,1999,Tarzan,Walt Disney,"$171,091,819","$277,100,000","$448,191,819"
297,2019,John Wick: Chapter 3 — Parabellum,Lionsgate,"$171,015,687","$154,770,095","$325,785,782"
298,2001,A Beautiful Mind,Universal,"$170,708,996","$146,959,062","$317,668,058"
299,2002,Chicago,Miramax,"$170,687,518","$136,083,027","$306,770,545"
300,2011,The Help,Walt Disney,"$169,705,587","$43,414,417","$213,120,004"
301,2015,Hotel Transylvania 2,Sony Pict…,"$169,700,110","$299,800,188","$469,500,298"
302,2016,Hidden Figures,20th Cent…,"$169,607,287","$62,164,429","$231,771,716"
303,2008,Quantum of Solace,Sony Pict…,"$169,368,427","$422,323,651","$591,692,078"
304,2011,Bridesmaids,Universal,"$169,211,718","$120,420,305","$289,632,023"
305,1977,Close Encounters of the Third Kind,Columbia,"$169,100,479","$171,700,000","$340,800,479"
306,2007,Wild Hogs,Walt Disney,"$168,213,584","$85,341,799","$253,555,383"
307,2017,Kong: Skull Island,Warner Bros.,"$168,052,812","$393,019,247","$561,072,059"
