Rank,Year,Movie,Distributor,Domestic Box Office,International Box Office,Worldwide Box Office
"4,305",1998,Soldier,Warner Bros.,"$14,623,082",,"$14,623,082"
"4,306",2014,Beyond the Lights,Relativity,"$14,618,727",,"$14,618,727"
"4,307",1997,Jackie Chan’s First Strike,New Line,"$14,601,662",,"$14,601,662"
"4,308",1984,Children of the Corn,New World,"$14,600,000",,"$14,600,000"
"4,309",1984,Night of the Comet,Atlantic,"$14,600,000",,"$14,600,000"
"4,310",1981,Nighthawks,Universal,"$14,600,000","$5,000,000","$19,600,000"
"4,311",2011,My Week with Marilyn,Weinstein…,"$14,597,405","$19,643,167","$34,240,572"
"4,312",2004,The Girl Next Door,20th Cent…,"$14,589,444","$17,045,706","$31,635,150"
"4,313",1985,Kiss of the Spider Woman,Island/Alive,"$14,582,182",,"$14,582,182"
"4,314",1987,Hellraiser,New World,"$14,564,000","$11,148","$14,575,148"
"4,315",1990,Wild at Heart,Goldwyn E…,"$14,560,000",,"$14,560,000"
"4,316",2012,To the Arctic 3D,Warner Bros.,"$14,555,206","$4,521,674","$19,076,880"
"4,317",1971,Willard,,"$14,545,941",,"$14,545,941"
"4,318",1988,School Daze,Sony Pict…,"$14,545,844",,"$14,545,844"
"4,319",2008,Fly Me To the Moon,Summit En…,"$14,543,943","$28,986,338","$43,530,281"
"4,320",1993,The Vanishing,20th Cent…,"$14,543,394",,"$14,543,394"
"4,321",1989,Kickboxer,Cannon,"$14,533,681",,"$14,533,681"
"4,322",2006,Everyone's Hero,20th Cent…,"$14,523,101","$2,477,336","$17,000,437"
"4,323",1987,Superman IV: The Quest for Peace,Warner Bros.,"$14,522,355","$22,177,645","$36,700,000"
"4,324",1980,"Oh, God! Book II",Warner Bros.,"$14,504,277",,"$14,504,277"
"4,325",1963,McLintock!,United Ar…,"$14,500,000",,"$14,500,000"
"4,326",1961,King of Kings,MGM,"$14,483,352",,"$14,483,352"
"4,327",2014,Big Eyes,Weinstein…,"$14,482,031","$12,835,841","$27,317,872"
"4,328",1986,Psycho III,Universal,"$14,481,606",,"$14,481,606"
"4,329",1996,In Love and War,New Line,"$14,481,231","$10,891,063","$25,372,294"
"4,330",1991,Flight of the Intruder,Paramount…,"$14,471,440",,"$14,471,440"
"4,331",2004,Welcome to Mooseport,20th Cent…,"$14,469,428",,"$14,469,428"
"4,332",2002,"Life, or Something Like It",20th Cent…,"$14,448,589",,"$14,448,589"
"4,333",2016,"Hello, My Name is Doris",Roadside …,"$14,444,999","$217,704","$14,662,703"
"4,334",2014,America: Imagine a World Without Her,Lionsgate,"$14,444,502",,"$14,444,502"
"4,335",2015,American Ultra,Lionsgate,"$14,439,985","$15,855,043","$30,295,028"
"4,336",1998,Dark City,New Line,"$14,435,076","$12,821,985","$27,257,061"
"4,337",2016,The Edge of Seventeen,STX Enter…,"$14,431,633","$4,664,370","$19,096,003"
"4,338",2006,Hollywoodland,Focus Fea…,"$14,426,251","$2,400,000","$16,826,251"
"4,339",1996,The Chamber,Universal,"$14,407,578",,"$14,407,578"
"4,340",1982,Halloween 3: Season of the Witch,Universal,"$14,400,000",,"$14,400,000"
"4,341",1956,Trapeze,,"$14,400,000",,"$14,400,000"
"4,342",1999,Tea with Mussolini,MGM,"$14,395,874",,"$14,395,874"
"4,343",2015,Woodlawn,Pure Flix…,"$14,394,097","$9,606","$14,403,703"
"4,344",1985,Remo Williams: The Adventure Begins,Orion Pic…,"$14,393,902",,"$14,393,902"
"4,345",1999,Snow Falling on Cedars,Universal,"$14,378,353",,"$14,378,353"
"4,346",1987,Ishtar,Sony Pict…,"$14,375,181",,"$14,375,181"
"4,347",2007,Awake,Weinstein…,"$14,373,825","$18,594,823","$32,968,648"
"4,348",1992,City of Joy,Sony Pict…,"$14,371,061",,"$14,371,061"
"4,349",1978,The Buddy Holly Story,Columbia,"$14,363,400",,"$14,363,400"
"4,350",2009,Capitalism: A Love Story,Overture …,"$14,363,397","$4,758,134","$19,121,531"
"4,351",1992,Memoirs of an Invisible Man,Warner Bros.,"$14,358,033",,"$14,358,033"
"4,352",1992,Rapid Fire,20th Cent…,"$14,356,479",,"$14,356,479"
"4,353",1997,Excess Baggage,Sony Pict…,"$14,351,432",,"$14,351,432"
"4,354",1989,Friday the 13th Part VIII: Jason Takes Manhattan,Paramount…,"$14,343,976",,"$14,343,976"
"4,355",2004,Godsend,Lionsgate,"$14,334,645","$2,576,063","$16,910,708"
"4,356",2012,Lockout,Open Road,"$14,326,865","$19,616,184","$33,943,049"
"4,357",1986,The Mosquito Coast,Warner Bros.,"$14,302,000",,"$14,302,000"
"4,358",2017,Wish Upon,Broad Gre…,"$14,301,505","$9,175,840","$23,477,345"
"4,359",1946,Blue Skies,Paramount…,"$14,300,000",,"$14,300,000"
"4,360",1982,Grease 2,Paramount…,"$14,297,083",,"$14,297,083"
"4,361",1984,Supergirl,Sony/TriStar,"$14,296,438",,"$14,296,438"
"4,362",2002,Ballistic: Ecks vs. Sever,Warner Bros.,"$14,294,842",,"$14,294,842"
"4,363",1969,Z,Rialto Pi…,"$14,283,305",,"$14,283,305"
"4,364",2009,Amelia,Fox Searc…,"$14,279,575","$5,476,502","$19,756,077"
"4,365",1989,The Wizard,Universal,"$14,278,900",,"$14,278,900"
"4,366",1985,Baby: Secret of the Lost Legend,Walt Disney,"$14,276,095",,"$14,276,095"
"4,367",1999,The Messenger: The Story of Joan of Arc,Sony Pict…,"$14,271,297",,"$14,271,297"
"4,368",2001,Josie and the Pussycats,Universal,"$14,252,830",,"$14,252,830"
"4,369",1991,Child's Play 3,Universal,"$14,250,380","$5,600,000","$19,850,380"
"4,370",2001,Freddy Got Fingered,20th Cent…,"$14,249,005",,"$14,249,005"
"4,371",1985,The Return of the Living Dead,Orion Pic…,"$14,237,880",,"$14,237,880"
"4,372",1992,Buffy the Vampire Slayer,20th Cent…,"$14,231,669",,"$14,231,669"
"4,373",2000,Supernova,MGM,"$14,218,868","$597,626","$14,816,494"
"4,374",2003,Alex & Emma,Warner Bros.,"$14,208,384","$1,150,199","$15,358,583"
"4,375",1986,Sweet Liberty,Universal,"$14,205,021",,"$14,205,021"
"4,376",1985,A Chorus Line,Sony Pict…,"$14,202,899",,"$14,202,899"
"4,377",1981,Scanners,Avco Embassy,"$14,200,000",,"$14,200,000"
"4,378",1975,The Eiger Sanction,Universal,"$14,200,000",,"$14,200,000"
"4,379",2008,Disaster Movie,Lionsgate,"$14,190,901","$22,529,851","$36,720,752"
"4,380",1991,Highlander II: The Quickening,InterStar…,"$14,184,134",,"$14,184,134"
"4,381",1987,Prince of Darkness,Universal,"$14,182,000",$305,"$14,182,305"
"4,382",1980,Wholly Moses!,Sony Pict…,"$14,155,617",,"$14,155,617"
"4,383",1991,Ernest Scared Stupid,Walt Disney,"$14,143,280",,"$14,143,280"
"4,384",1971,The Hospital,MGM,"$14,142,409",,"$14,142,409"
"4,385",2004,Dirty Dancing Havana Nights,Lionsgate,"$14,140,215",,"$14,140,215"
"4,386",2013,Spring Breakers,A24,"$14,124,286","$17,024,965","$31,149,251"
"4,387",1988,Poltergeist III,MGM,"$14,114,000",,"$14,114,000"
"4,388",1992,Cool World,Paramount…,"$14,110,589",,"$14,110,589"
"4,389",2003,How to Deal,New Line,"$14,108,518",,"$14,108,518"
"4,390",1996,Maximum Risk,Sony Pict…,"$14,102,929","$37,600,000","$51,702,929"
"4,391",1985,Tomboy,,"$14,100,000",,"$14,100,000"
"4,392",1998,Blues Brothers 2000,Universal,"$14,089,198",,"$14,089,198"
"4,393",1991,The Perfect Weapon,Paramount…,"$14,061,361",,"$14,061,361"
"4,394",2002,The Emperor's Club,Universal,"$14,060,950","$2,132,763","$16,193,713"
"4,395",1997,Fairytale: A True Story,Paramount…,"$14,059,077",,"$14,059,077"
"4,396",1983,Private School,Universal,"$14,049,540",,"$14,049,540"
"4,397",2009,Cirque du Freak: The Vampire's Assistant,Universal,"$14,046,595","$25,707,362","$39,753,957"
"4,398",1989,My Left Foot: The Story of Christy Brown,Miramax,"$14,041,353",,"$14,041,353"
"4,399",1996,The Arrival,Orion Pic…,"$14,031,906",,"$14,031,906"
"4,400",1999,In Too Deep,Gramercy,"$14,026,509","$1,444,720","$15,471,229"
"4,401",2014,Left Behind,Freestyle…,"$14,019,924","$6,749,285","$20,769,209"
